,Unnamed: 0,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Hotel Name
88,88,Vila Velha,-20.3297,-40.2925,71.55,83,0,6.91,BR,1627446426,Hotel Senac Ilha do Boi
95,95,Uglovoye,44.8215,33.6045,75.4,64,0,5.86,UA,1627446427,Our Sail
178,178,Stara Zagora,42.4328,25.6419,70.43,45,0,2.13,BG,1627446447,Park Hotel Stara Zagora
224,224,Tataouine,32.9297,10.4518,76.08,69,0,6.51,TN,1627446459,NaN
243,243,Monte Alegre,-2.0078,-54.0692,75.24,75,0,3.18,BR,1627446464,Hotel Shekinah
266,266,Marsá Maţrūḩ,31.3525,27.2453,79.0,78,0,4.61,EG,1627446469,Arous El Bahr Hotel
294,294,Nyzhni Sirohozy,46.8484,34.3804,73.58,64,0,7.76,UA,1627446476,Hotelʹ Stepova
303,303,Jalu,29.0331,21.5482,78.96,46,0,5.68,LY,1627446479,إستراحة صلاح الصادق
304,304,Semīrom,31.4167,51.5667,70.29,27,0,5.01,IR,1627446479,(سوئیت اجاره)(ابراهیم دلداده)
334,334,Bosilovo,41.4406,22.7278,74.43,45,0,3.0,MK,1627446486,NaN
337,337,Province of Trapani,37.8333,12.6667,79.9,51,0,3.87,IT,1627446487,NaN
368,368,Soverato Marina,38.685,16.5499,78.89,48,0,4.68,IT,1627446494,Villa Ersilia
378,378,Marrakesh,31.6315,-8.0083,71.67,68,0,5.75,MA,1627446257,"Mandarin Oriental, Marrakech"
477,477,Lac du Bonnet,50.2536,-96.0612,72.59,47,0,9.69,CA,1627446522,The Lakeview Inn
492,492,Altay,47.8667,88.1167,75.04,34,0,9.62,CN,1627446526,阿勒泰市金都酒店
510,510,Hyères,43.1167,6.1167,74.68,64,0,4.61,FR,1627446531,Stella Maris
542,542,Vodstroy,48.8416,44.5579,75.49,33,0,6.71,RU,1627446539,NaN
579,579,Valenzuela,37.7756,-4.2204,75.34,51,0,2.01,ES,1627446548,NaN
